# step, gen_loss, dis_loss
100,  9.093198E+01, -1.491183E+02
200,  1.091193E+02, -1.238341E+02
300,  2.133604E+01, -9.621158E+01
400,  2.176595E+01, -8.098673E+01
500, -2.506077E+00, -6.284924E+01
600, -3.535619E+01, -5.202633E+01
700, -6.797027E+01, -4.323171E+01
800, -7.536466E+01, -3.599950E+01
900, -7.463132E+01, -2.907481E+01
1000, -6.785249E+01, -2.386032E+01
1100, -6.701290E+01, -2.031348E+01
1200, -5.568019E+01, -1.849696E+01
1300, -4.782801E+01, -1.845395E+01
1400, -3.792897E+01, -1.667749E+01
1500, -3.171141E+01, -1.528127E+01
1600, -2.664946E+01, -1.550369E+01
1700, -1.912988E+01, -1.475906E+01
1800, -1.937938E+01, -1.330527E+01
1900, -1.979121E+01, -1.246613E+01
2000, -1.801894E+01, -1.214764E+01
2100, -9.420442E+00, -1.080596E+01
2200, -9.221207E+00, -1.136480E+01
2300, -9.837758E+00, -1.055600E+01
2400, -1.231136E+01, -7.121317E+00
2500, -2.215822E+01, -3.957052E+00
2600, -1.696572E+01, -3.930778E+00
2700, -1.975053E+01, -4.454195E+00
2800, -2.066004E+01, -3.075108E+00
2900, -1.436004E+01, -4.144950E+00
3000, -1.870217E+01, -3.576773E+00
3100, -1.599950E+01, -3.955936E+00
3200, -1.855999E+01, -3.896433E+00
3300, -1.709809E+01, -4.831240E+00
3400, -1.913397E+01, -4.343246E+00
3500, -1.193339E+01, -3.903082E+00
3600, -1.288113E+01, -3.518913E+00
3700, -1.508032E+01, -3.990164E+00
3800, -1.142935E+01, -3.804905E+00
3900, -4.992409E+00, -4.084621E+00
4000, -1.725758E+01, -3.677830E+00
4100, -1.354737E+01, -4.347034E+00
4200, -9.232021E+00, -3.478676E+00
4300, -1.267227E+01, -3.957547E+00
4400, -7.426241E+00, -4.494955E+00
4500, -1.362973E+01, -3.957800E+00
4600, -8.987805E+00, -3.779331E+00
4700, -1.336165E+01, -4.171665E+00
4800, -3.073583E+00, -3.944399E+00
4900, -1.202400E+01, -4.560396E+00
5000, -1.454186E+01, -4.313706E+00
