# step, gen_loss, dis_loss
100,  1.704091E+01, -1.481668E+02
200,  7.492179E+01, -1.256884E+02
300,  8.832517E+01, -1.063746E+02
400,  1.197191E+02, -8.998611E+01
500,  7.862360E+01, -6.816222E+01
600,  5.046818E+01, -5.559921E+01
700,  3.839399E+01, -4.576852E+01
800,  1.433268E+01, -3.486003E+01
900, -3.984198E+00, -2.910559E+01
1000, -1.382319E+01, -2.339402E+01
1100, -1.330328E+01, -2.061613E+01
1200, -1.253015E+01, -1.932788E+01
1300, -1.438023E+01, -1.666087E+01
1400, -2.188240E+01, -1.517948E+01
1500, -1.786833E+01, -1.405386E+01
1600, -1.693413E+01, -1.381344E+01
1700, -2.188603E+01, -1.318057E+01
1800, -1.446896E+01, -9.609850E+00
1900, -2.967304E+01, -7.137481E+00
2000, -2.981742E+01, -7.378054E+00
2100, -3.206470E+01, -4.947371E+00
2200, -2.110243E+01, -5.262623E+00
2300, -3.190582E+01, -5.037833E+00
2400, -2.559468E+01, -4.836581E+00
2500, -2.736648E+01, -4.508128E+00
2600, -3.064791E+01, -4.875165E+00
2700, -3.130553E+01, -4.855624E+00
2800, -3.104202E+01, -4.781830E+00
2900, -2.629167E+01, -4.660201E+00
3000, -3.690266E+01, -4.027681E+00
3100, -2.533316E+01, -3.619452E+00
3200, -3.015942E+01, -4.097202E+00
3300, -2.669703E+01, -3.987480E+00
3400, -3.860552E+01, -2.814734E+00
3500, -2.516494E+01, -3.848017E+00
3600, -2.593913E+01, -4.457770E+00
3700, -3.432209E+01, -4.255807E+00
3800, -2.940756E+01, -3.931982E+00
3900, -2.959291E+01, -4.481699E+00
4000, -2.848952E+01, -5.292181E+00
4100, -3.258558E+01, -4.304289E+00
4200, -3.623239E+01, -4.370634E+00
4300, -3.002922E+01, -3.732214E+00
4400, -3.164956E+01, -4.052066E+00
4500, -3.814635E+01, -4.628752E+00
4600, -3.687954E+01, -4.243701E+00
4700, -2.627588E+01, -3.941621E+00
4800, -3.227769E+01, -4.458955E+00
4900, -3.822495E+01, -3.950669E+00
5000, -3.931900E+01, -3.723799E+00
5100, -3.480474E+01, -5.194248E+00
5200, -3.528612E+01, -3.822854E+00
5300, -3.991640E+01, -1.783542E+00
5400, -3.735684E+01, -4.959740E+00
5500, -3.679927E+01, -5.186643E+00
5600, -3.548019E+01, -4.716958E+00
5700, -4.162499E+01, -6.048072E+00
5800, -3.707785E+01, -3.705555E+00
5900, -3.671243E+01, -3.144419E+00
6000, -3.992071E+01, -3.922355E+00
6100, -3.825296E+01, -4.700507E+00
6200, -3.533424E+01, -4.754900E+00
6300, -4.403549E+01, -4.952579E+00
6400, -4.107970E+01, -4.888083E+00
6500, -3.846703E+01, -4.309526E+00
6600, -3.729422E+01, -4.950799E+00
6700, -4.328853E+01, -4.921519E+00
6800, -3.959981E+01, -4.160738E+00
6900, -4.309703E+01, -4.177001E+00
7000, -4.240661E+01, -4.530164E+00
7100, -4.235772E+01, -4.990176E+00
7200, -4.435243E+01, -4.423283E+00
7300, -4.624192E+01, -4.668644E+00
7400, -4.007923E+01, -3.825770E+00
7500, -4.937774E+01, -3.722102E+00
7600, -4.986447E+01, -3.521701E+00
7700, -4.898979E+01, -3.819681E+00
7800, -4.897967E+01, -4.308155E+00
7900, -4.917637E+01, -4.525520E+00
8000, -4.346262E+01, -3.872441E+00
8100, -4.611740E+01, -4.336402E+00
8200, -5.026245E+01, -4.765615E+00
8300, -5.883372E+01, -2.775589E+00
8400, -4.442670E+01, -4.192810E+00
8500, -4.634293E+01, -4.580961E+00
8600, -4.939885E+01, -4.251730E+00
8700, -4.857515E+01, -4.732625E+00
8800, -5.113993E+01, -3.888979E+00
8900, -5.828225E+01, -4.078227E+00
9000, -5.415666E+01, -5.104090E+00
9100, -5.075041E+01, -4.693250E+00
9200, -4.733265E+01, -4.538246E+00
9300, -5.395283E+01, -4.322697E+00
9400, -5.880902E+01, -4.258007E+00
9500, -5.324212E+01, -4.493737E+00
9600, -4.754657E+01, -4.456546E+00
9700, -5.742394E+01, -5.179999E+00
9800, -5.303737E+01, -3.369361E+00
9900, -5.517006E+01, -4.733561E+00
10000, -5.523049E+01, -3.915989E+00
10100, -5.462166E+01, -4.635529E+00
10200, -5.499244E+01, -3.711328E+00
10300, -5.631714E+01, -4.267218E+00
10400, -6.251176E+01, -4.282376E+00
10500, -6.022127E+01, -4.827336E+00
10600, -6.003784E+01, -4.400882E+00
10700, -5.944409E+01, -4.235791E+00
10800, -5.571929E+01, -3.998002E+00
10900, -6.210751E+01, -4.221879E+00
11000, -5.664143E+01, -3.742165E+00
11100, -5.760807E+01, -3.897263E+00
11200, -6.244471E+01, -3.780363E+00
11300, -6.069490E+01, -4.575532E+00
11400, -5.963927E+01, -5.393631E+00
11500, -6.412045E+01, -4.425004E+00
11600, -6.258245E+01, -4.199412E+00
11700, -6.911639E+01, -6.650043E+00
11800, -6.539520E+01, -3.977131E+00
11900, -6.797348E+01, -3.911825E+00
12000, -6.727750E+01, -4.544262E+00
12100, -6.821230E+01, -5.225740E+00
12200, -6.674795E+01, -5.166212E+00
12300, -6.754856E+01, -4.029495E+00
12400, -7.047997E+01, -4.184899E+00
12500, -6.939010E+01, -3.934161E+00
12600, -7.375197E+01, -5.222301E+00
12700, -6.741992E+01, -4.763097E+00
12800, -6.711803E+01, -3.334503E+00
12900, -6.894071E+01, -4.528759E+00
13000, -7.035058E+01, -4.898715E+00
13100, -7.207520E+01, -3.805431E+00
13200, -7.082958E+01, -4.814776E+00
13300, -7.198270E+01, -3.814358E+00
13400, -6.960455E+01, -3.924734E+00
13500, -7.594057E+01, -5.577451E+00
13600, -6.705148E+01, -5.557936E+00
13700, -7.381002E+01, -4.752051E+00
13800, -7.465524E+01, -4.623796E+00
13900, -7.217411E+01, -3.597890E+00
14000, -7.177113E+01, -5.319443E+00
14100, -7.352323E+01, -4.989466E+00
14200, -7.484927E+01, -5.790857E+00
14300, -7.871323E+01, -4.123022E+00
14400, -7.844655E+01, -4.867126E+00
14500, -7.432178E+01, -4.374166E+00
14600, -7.248092E+01, -4.861341E+00
14700, -7.982854E+01, -4.335348E+00
14800, -7.829002E+01, -5.561661E+00
14900, -7.896499E+01, -4.631625E+00
15000, -7.639593E+01, -4.612123E+00
